FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50bd,Indonesia,Banda Archipelago,Banda Sea,TI2,Pulau Laibobar,,-7.23,131.36,Central Indo-Pacific,Western Coral Triangle,Banda Sea,Tropical,RLS,POINT (131.36 -7.23)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50bc,Australia,Tasmania,Port Davey,TAS103,Breaksea Island North,,-43.32,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (145.97 -43.32)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50bb,Australia,Tasmania,Port Davey,TAS142,Breaksea Island,1601,-43.33,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.97 -43.33)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ba,Australia,Tasmania,Port Davey,TAS154,Kathleen Island,1609,-43.31,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.97 -43.31)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b9,Australia,Tasmania,Port Davey,PD-S18,Breaksea Island South,1618,-43.33,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.97 -43.33)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b8,Australia,Tasmania,Port Davey,PD-S7,Spain Bay,1607,-43.36,145.96,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.96 -43.36)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b7,Australia,Tasmania,Port Davey,PD-S27,Norman Cove Inner,1627,-43.37,145.94,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.94 -43.37)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b6,Australia,Tasmania,Port Davey,PD-S28,"Outer Saddle Bight, Inner West, 10m",1628,-43.32,145.88,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.88 -43.32)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b5,Canada,Newfoundland and Labrador,Newfoundland,NFLD5,Broad Cove,,47.59,-52.89,Arctic,Arctic,Northern Grand Banks - Southern Labrador,Polar,RLS,POINT (-52.89 47.59)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b4,Australia,Tasmania,Port Davey,PD-S19,Normans Bay,1619,-43.37,145.93,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.93 -43.37)
