db,country,location,site,latitude,longitude
darling_etal_2019,Australia,NA,Flying Fish Cove_20m,-10.42866667,105.66815
darling_etal_2019,Australia,NA,Flying Fish Cove_5m,-10.42866667,105.66815
darling_etal_2019,Australia,NA,Flynn Reef,-16.7879,146.2679
darling_etal_2019,Australia,NA,Fork Reef 2,-18.611,147.566
darling_etal_2019,Australia,NA,GK1,-23.1489,150.9745
darling_etal_2019,Australia,NA,GK2,-23.1535,150.9766
darling_etal_2019,Australia,NA,GK3,-23.1766,150.9894
darling_etal_2019,Australia,NA,GK4,-23.1817,150.9915
darling_etal_2019,Australia,NA,GK5,-23.19,150.9829
darling_etal_2019,Australia,NA,GK6,-23.1869,150.9749
darling_etal_2019,Australia,NA,GK7,-23.1911,150.9637
darling_etal_2019,Australia,NA,GK8,-23.176,150.9832
darling_etal_2019,Australia,NA,GK9,-23.1959,150.9367
darling_etal_2019,Australia,NA,Gnarraloo Bay,-23.76169,113.54283
darling_etal_2019,Australia,NA,H1,-23.1973,150.9731
darling_etal_2019,Australia,NA,H2,-23.2007,150.9732
darling_etal_2019,Australia,NA,H3,-23.201,150.9658
darling_etal_2019,Australia,NA,Hardy Reef 3,-19.7425,149.1826
darling_etal_2019,Australia,NA,HastingsReef_10,-16.50303333,146.02995
darling_etal_2019,Australia,NA,HastingsReef_20,-16.50303333,146.02995
darling_etal_2019,Australia,NA,HB1,-20.1439,148.9461
darling_etal_2019,Australia,NA,HB2,-20.1305,148.9461
darling_etal_2019,Australia,NA,HB3,-20.0918,148.9516
darling_etal_2019,Australia,NA,HB4,-20.0871,148.9525
darling_etal_2019,Australia,NA,HB5,-20.0702,148.9613
darling_etal_2019,Australia,NA,HB7,-20.0922,148.9553
darling_etal_2019,Australia,NA,HE1,-20.058,148.9005
darling_etal_2019,Australia,NA,HE2,-20.0536,148.899
darling_etal_2019,Australia,NA,HE3,-20.0413,148.8894
darling_etal_2019,Australia,NA,HG1,-20.0604,148.9569
darling_etal_2019,Australia,NA,HG2,-20.0625,148.9528
darling_etal_2019,Australia,NA,HG3,-20.0639,148.9455
darling_etal_2019,Australia,NA,HG4,-20.0664,148.9399
darling_etal_2019,Australia,NA,HG5,-20.0688,148.9358
darling_etal_2019,Australia,NA,HG7,-20.0608,148.9617
darling_etal_2019,Australia,NA,HomeIsland_20m,-12.12381678,96.91083067
darling_etal_2019,Australia,NA,HomeIsland_5m,-12.12381678,96.91083067
darling_etal_2019,Australia,NA,Homestead,-25.98327188,113.1899436
darling_etal_2019,Australia,NA,Hospital Bay Anchorage,-24.79570235,113.1692184
darling_etal_2019,Australia,NA,HW1,-20.0404,148.881
darling_etal_2019,Australia,NA,HW2,-20.0466,148.8807
darling_etal_2019,Australia,NA,HW3,-20.0507,148.8785
darling_etal_2019,Australia,NA,HY1,-20.0642,148.9152
darling_etal_2019,Australia,NA,HY2,-20.0684,148.9062
darling_etal_2019,Australia,NA,HY3,-20.0754,148.9014
darling_etal_2019,Australia,NA,Imperieuse 27,-17.54445311,118.9695432
darling_etal_2019,Australia,NA,IMPERIEUSE RS3 1 WA,-17.54793333,118.9738333
darling_etal_2019,Australia,NA,IMPERIEUSE RS3 2 WA,-17.55278333,118.9734667
darling_etal_2019,Australia,NA,IMPERIEUSE RS3 3 WA,-17.55836667,118.9725333
darling_etal_2019,Australia,NA,Imperiuese 1,-17.498686,118.953006
darling_etal_2019,Australia,NA,Imperiuese 10,-17.61061402,118.9697002
darling_etal_2019,Australia,NA,Imperiuese 13,-17.56032001,118.941284
darling_etal_2019,Australia,NA,Imperiuese 14,-17.5493,118.9664667
darling_etal_2019,Australia,NA,Imperiuese 19,-17.59072222,118.9494889
darling_etal_2019,Australia,NA,Imperiuese 24,-17.609646,118.963686
darling_etal_2019,Australia,NA,Imperiuese 26,-17.57945,118.9687233
darling_etal_2019,Australia,NA,Imperiuese 9,-17.61072533,118.9748751
darling_etal_2019,Australia,NA,Inner Gneering Shoals,-26.64858,153.18344
darling_etal_2019,Australia,NA,IsabellaReef_10,-16.49417,146.001
darling_etal_2019,Australia,NA,IsabellaReef_20,-16.49417,146.001
darling_etal_2019,Australia,NA,IsabellaReef_30,-16.49417,146.001
darling_etal_2019,Australia,NA,JennyLouiseShoal_10,-16.76,146.35
darling_etal_2019,Australia,NA,JennyLouiseShoal_20,-16.76,146.35
darling_etal_2019,Australia,NA,JennyLouiseShoal_30,-16.76,146.35
darling_etal_2019,Australia,NA,JohnBrewerExposedCrest1,-18.64647222,147.0528056
darling_etal_2019,Australia,NA,JohnBrewerExposedCrest2,-18.64605556,147.0489444
darling_etal_2019,Australia,NA,JohnBrewerExposedCrest3,-18.6465,147.0441944
darling_etal_2019,Australia,NA,JohnBrewerExposedFlat1,-18.64647222,147.0528056
darling_etal_2019,Australia,NA,JohnBrewerExposedFlat2,-18.64605556,147.0489444
darling_etal_2019,Australia,NA,JohnBrewerExposedFlat3,-18.6465,147.0441944
darling_etal_2019,Australia,NA,JohnBrewerExposedSlope1,-18.64647222,147.0528056
darling_etal_2019,Australia,NA,JohnBrewerExposedSlope2,-18.64605556,147.0489444
darling_etal_2019,Australia,NA,JohnBrewerExposedSlope3,-18.6465,147.0441944
darling_etal_2019,Australia,NA,JohnBrewerShelteredCrest1,-18.62625,147.0333611
darling_etal_2019,Australia,NA,JohnBrewerShelteredCrest2,-18.62783333,147.0306944
darling_etal_2019,Australia,NA,JohnBrewerShelteredCrest3,-18.62883333,147.0272222
darling_etal_2019,Australia,NA,JohnBrewerShelteredFlat1,-18.62625,147.0333611
darling_etal_2019,Australia,NA,JohnBrewerShelteredFlat2,-18.62783333,147.0306944
darling_etal_2019,Australia,NA,JohnBrewerShelteredFlat3,-18.62883333,147.0272222
darling_etal_2019,Australia,NA,JohnBrewerShelteredSlope1,-18.62625,147.0333611
darling_etal_2019,Australia,NA,JohnBrewerShelteredSlope2,-18.62783333,147.0306944
darling_etal_2019,Australia,NA,JohnBrewerShelteredSlope3,-18.62883333,147.0272222
darling_etal_2019,Australia,NA,Julian Rocks Nursery,-28.61087,153.62809
darling_etal_2019,Australia,NA,Julian Rocks Trench,-28.61257,153.62863
darling_etal_2019,Australia,NA,Kelso Reef,-18.807,147.6642
darling_etal_2019,Australia,NA,Knuckle Reef,-19.5536,149.2704
darling_etal_2019,Australia,NA,Knuckle Reef 2,-19.5536,149.2704
darling_etal_2019,Australia,NA,L1,-20.0778,148.8742
darling_etal_2019,Australia,NA,Lefroy Bay,-22.50297667,113.6999233
darling_etal_2019,Australia,NA,Light Reef,-16.0209,145.8068
darling_etal_2019,Australia,NA,Little Black Reef,-19.7676,149.3675
darling_etal_2019,Australia,NA,Little Kelso Reef 2,-18.4658,146.9915
darling_etal_2019,Australia,NA,Lizard_10a,-14.64683333,145.4517
darling_etal_2019,Australia,NA,Lizard_10b,-14.64683333,145.4517
darling_etal_2019,Australia,NA,Lizard_11a,-14.68278333,145.4719667
darling_etal_2019,Australia,NA,Lizard_11b,-14.68278333,145.4719667
darling_etal_2019,Australia,NA,Lizard_12a,-14.67245,145.4774167
darling_etal_2019,Australia,NA,Lizard_12b,-14.67245,145.4774167
darling_etal_2019,Australia,NA,Lizard_13a,-14.68946667,145.4647
darling_etal_2019,Australia,NA,Lizard_13b,-14.68946667,145.4647
darling_etal_2019,Australia,NA,Lizard_14a,-14.7006,145.4449
darling_etal_2019,Australia,NA,Lizard_14b,-14.7006,145.4449
darling_etal_2019,Australia,NA,Lizard_1a,-14.6977,145.4629667
darling_etal_2019,Australia,NA,Lizard_1b,-14.6977,145.4629667
darling_etal_2019,Australia,NA,Lizard_2a,-14.69146667,145.4692333
