db,country,site,latitude,longitude
reefcheck,Central Caribbean,69.41.59.9W.18.27.9.7N,18.45269444,-69.69997222
reefcheck,Central Caribbean,77.58.049W.18.27.174N,18.45288889,-77.96747222
reefcheck,Lesser Antilles,64.31.7W.18.27.8N,18.45361111,-64.51972222
reefcheck,Central Caribbean,77.23.63W.18.27.8N,18.46355556,-77.35730556
reefcheck,Central Caribbean,77.21.438W.18.27.814N,18.46355556,-77.35730556
reefcheck,Central Caribbean,77.24.50W.18.27.52N,18.46444444,-77.41388889
reefcheck,Lesser Antilles,18N64W2,18.46666667,-64.525
reefcheck,Central Caribbean,78.0.919W.18.28.010N,18.46683333,-78.01530556
reefcheck,Central Caribbean,77.23.63W.18.28.07N,18.46783333,-77.39383333
reefcheck,Central Caribbean,77.23.440W.18.28.136N,18.46894444,-77.39066667
reefcheck,Central Caribbean,77.24.5W.18.28.28N,18.47133333,-77.40833333
reefcheck,Central Caribbean,77.24.32W.18.28.28N,18.47444444,-77.40888889
reefcheck,Lesser Antilles,64.27.34W.18.28.75N,18.47916667,-64.45566667
reefcheck,Lesser Antilles,18N64W1,18.48333333,-64.455
reefcheck,Lesser Antilles,64.27.37W.18.29.36N,18.49333333,-64.46027778
reefcheck,Central Caribbean,77.38.24W.18.27.46N,18.49427778,-77.63827778
reefcheck,Central Caribbean,77.56.026W.18.29.693N,18.49488889,-77.93377778
reefcheck,Central Caribbean,77.38.217W.18.29.772N,18.49619444,-77.63694444
