id,Latitude,Longitude,crs,SOVEREIGN1,TERRITORY1,ECO_CODE,ECOREGION,REALM
16877,-13.767478,136.546054,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16875,-13.7185,136.481003,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8671,-12.17941851,136.7231703,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16876,-13.688292000000004,136.528652,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16878,-13.789700000000002,136.505005,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15930,-12.180632386312707,136.68357475756198,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16879,-13.809272,136.920508,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16880,-13.793320000000003,136.919497,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16881,-13.767792000000004,136.913231,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16882,-13.743173,136.84056200000003,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16883,-13.772981,136.711832,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15181,-10.3333,132.72,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15184,-10.3255,132.7042,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15182,-10.3459,132.72753,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16884,-13.719047,136.706332,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16885,-13.715833000000003,136.72185,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16886,-13.696253,136.750527,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16887,-13.643515000000003,136.912912,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15950,-12.218169,136.741195,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15951,-12.221938,136.746868,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15952,-12.224489,136.745981,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15953,-12.225451,136.74321,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15955,-12.218812000000003,136.737813,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15954,-12.223398,136.740033,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
17013,-13.624062,136.960013,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8649,-12.18355031,136.7139146,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8650,-12.18508367,136.7094235,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8651,-12.18400651,136.7073,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
9307,-12.18072692,136.6886948,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10874,-12.15437842,136.6909913,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8652,-12.18499079,136.7046872,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8653,-12.18386635,136.702407,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10875,-12.16733671,136.6905051,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10876,-12.16327367,136.6903046,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10877,-12.16352409,136.6909105,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10878,-12.15716784,136.7080478,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10879,-12.1576167,136.7087171,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
10880,-12.17170748,136.7176465,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8654,-12.18488194,136.6999147,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
8655,-12.18326151,136.6978543,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
